authorId,name
145186037,A. Marx
143992824,P. Boor
145970056,F. Tacke
14181928,U. Neumann
48115654,H. Grabsch
2491477,T. Yoshikawa
143862076,H. Brenner
1400566701,J. Chang-Claude
2727458,M. Hoffmeister
2366201,C. Trautwein
2250314176,Tom Luedde
2866919,Cody A. Coleman
144088780,Christopher Yeh
1776721,Stephen Mussmann
2389094,Baharan Mirzasoleiman
2740804,Peter Bailis
145419642,Percy Liang
1702139,J. Leskovec
143834867,M. Zaharia
38498866,B. Richards
2542999,T. Lillicrap
1390035743,Philippe Beaudoin
122862590,R. Bogacz
143844838,A. Christensen
2388737,C. Clopath
38463538,R. P. Costa
4971042,Archy O. de Berker
49053365,Colleen J. Gillon
35006479,Danijar Hafner
2029906,Adam Kepecs
3351205,N. Kriegeskorte
9967304,P. Latham
32911505,Grace W. Lindsay
1758194,K. Miller
2886128,Richard Naud
2654928,Christopher C. Pack
1780932,Panayiota Poirazi
1698275,P. Roelfsema
3105061,J. Sacramento
34927843,Andrew M. Saxe
3364063,B. Scellier
2717995,A. Schapiro
1719636,W. Senn
89504302,Greg Wayne
40657572,Daniel L. K. Yamins
39979946,Friedemann Zenke
1683372,J. Zylberberg
1754510,D. Thérien
3282030,Konrad Paul Kording
1391202254,Jiasi Chen
23148437,Xukan Ran
1729571,Kihyuk Sohn
3084614,Xinchen Yan
38086241,Gökçen Eraslan
52204747,Žiga Avsec
89030634,J. Gagneur
2958299,Fabian J Theis
3692743,Niall O' Mahony
145911154,S. Campbell
133574842,A. Carvalho
116338962,S. Harapanahalli
1390095040,G. Velasco-Hernández
15909050,L. Krpalkova
50207148,Daniel Riordan
145975195,Joseph Walsh
49984891,Ceyuan Yang
2227434,Xiwen Yao
104394731,Shaveta Dargan
2109645645,Munish Kumar
103435006,Maruthi Rohit Ayyagari
145627436,G. Kumar
2313883,Domen Tabernik
101403653,Samo Sela
2040365,J. Skvarc
2238343,D. Skočaj
2065614284,Erick Moen
91548448,Dylan Bannon
5864924,Takamasa Kudo
2054090660,William Graf
2835805,M. Covert
6838746,David Van Valen
91500735,Xizhao Wang
2109712866,Yanxia Zhao
1866603,Farhad Pourpanah
